0, 1, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00002.png', 4.608694368113467
1, 2, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00002.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00003.png', 4.644795765392429
2, 3, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00003.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00004.png', 4.1458383387634825
3, 4, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00004.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00005.png', 4.398642845639387
4, 5, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00005.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00006.png', 4.417833821682091
5, 6, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00006.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00007.png', 4.510150856609074
6, 7, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00007.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00008.png', 4.34371873831642
7, 8, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00008.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00009.png', 4.675660150251265
8, 9, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00009.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00010.png', 3.9068237415597427
9, 10, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00010.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00011.png', 4.246937072626649
10, 11, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00011.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00012.png', 4.051759675995428
11, 12, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00012.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00013.png', 3.275717477848837
12, 13, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00013.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00014.png', 3.583401937146014
13, 14, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00014.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00015.png', 3.5747637750357653
14, 15, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00015.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00016.png', 3.770027010971605
15, 16, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00016.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00017.png', 3.783215940758575
16, 17, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00017.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00018.png', 4.052866765376142
17, 18, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00018.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00019.png', 3.6067434457368828
18, 19, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00019.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00020.png', 3.7899924759493624
19, 20, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00020.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00021.png', 3.387396063242746
20, 21, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00021.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00022.png', 3.5022895065792996
21, 22, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00022.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00023.png', 3.6361314607243447
22, 23, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00023.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00024.png', 3.8161839499438783
23, 24, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00024.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00025.png', 3.85540441509435
24, 25, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00025.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00026.png', 3.818726542088042
25, 26, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00026.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00027.png', 3.400539743173463
26, 27, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00027.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00028.png', 3.7956985587179344
27, 28, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00028.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00029.png', 3.6001181582510986
28, 29, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00029.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00030.png', 4.075932000366699
29, 30, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00030.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00031.png', 4.02585240372565
30, 31, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00031.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00032.png', 4.097901806388692
31, 32, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00032.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00033.png', 3.6769546254879653
32, 33, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00033.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00034.png', 4.002150239991399
33, 34, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00034.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00035.png', 3.9364895713149943
34, 35, './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00035.png', './GTEA61/flow_x_processed/S1/scoop_jam,spoon/1/flow_x_00036.png', 3.6866974023062724
