0, 1, './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00002.png', 6.2691723981950505
1, 2, './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00003.png', 6.639423751665543
2, 3, './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00004.png', 6.565459228616086
3, 4, './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00005.png', 6.233263570102516
4, 5, './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00006.png', 5.149105984167011
5, 6, './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00007.png', 5.593361003488087
6, 7, './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00008.png', 5.8631991670136125
7, 8, './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00009.png', 5.716504195532452
8, 9, './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00010.png', 4.955790391691285
9, 10, './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00011.png', 5.192543343393651
10, 11, './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00012.png', 5.701073209747181
11, 12, './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00013.png', 4.616715125853976
12, 13, './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00014.png', 5.461276545568143
13, 14, './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00015.png', 4.855747736204578
14, 15, './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00016.png', 3.6427100368759775
15, 16, './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00017.png', 4.544796839275138
16, 17, './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00018.png', 4.640785663131341
17, 18, './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00019.png', 4.509427480328485
18, 19, './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S3/put_bread,bread/1/flow_y_00020.png', 4.345054526903039
