0, 1, './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00002.png', 7.44699891173123
1, 2, './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00003.png', 5.8330927414913125
2, 3, './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00004.png', 6.087210923940079
3, 4, './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00005.png', 6.207986732470303
4, 5, './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00006.png', 5.817060085734997
5, 6, './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00007.png', 5.203215879454026
6, 7, './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00008.png', 5.494350871837106
7, 8, './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00009.png', 4.579435426984818
8, 9, './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00010.png', 4.348900188903546
9, 10, './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00011.png', 4.460740283142555
10, 11, './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00012.png', 3.829149054021908
11, 12, './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S4/put_bread,bread/1/flow_x_00013.png', 5.477229353510407
