0, 1, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0001.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0002.png', 0.23801681839870262
1, 2, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0002.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0003.png', 0.20968715271757843
2, 3, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0003.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0004.png', 0.17425447754667964
3, 4, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0004.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0005.png', 0.1339711061250611
4, 5, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0005.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0006.png', 0.07954983995500932
5, 6, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0006.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0007.png', 0.057682908729087365
6, 7, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0007.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0008.png', 0.041681871166669875
7, 8, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0008.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0009.png', 0.02979160948403639
8, 9, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0009.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0010.png', 0.01560991033403701
9, 10, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0010.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0011.png', 0.40361747315253993
10, 11, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0011.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0012.png', 0.23375625608348682
11, 12, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0012.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0013.png', 0.23219513112180368
12, 13, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0013.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0014.png', 0.17907369581777793
13, 14, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0014.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0015.png', 0.19690859221584442
14, 15, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0015.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0016.png', 0.10199451688933776
15, 16, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0016.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0017.png', 0.09192841921060285
16, 17, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0017.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0018.png', 0.08403133035736218
17, 18, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0018.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0019.png', 0.05575299932832995
18, 19, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0019.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0020.png', 0.03235268817879221
19, 20, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0020.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0021.png', 0.019189173506139693
20, 21, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0021.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0022.png', 0.02272471348090405
21, 22, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0022.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0023.png', 0.016977847647507656
22, 23, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0023.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0024.png', 0.031432827546389874
23, 24, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0024.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0025.png', 0.0201224514558773
24, 25, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0025.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0026.png', 0.009190671434539072
25, 26, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0026.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0027.png', 0.01136668361443535
26, 27, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0027.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0028.png', 0.012974702825838565
27, 28, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0028.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0029.png', 0.019267262196510468
28, 29, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0029.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0030.png', 0.016256193458082116
29, 30, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0030.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0031.png', 0.009013185442534974
30, 31, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0031.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0032.png', -0.0
31, 32, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0032.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0033.png', 0.014302839143652487
32, 33, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0033.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0034.png', 0.014302839143652487
33, 34, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0034.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/mmaps/map0035.png', -0.0
