0, 1, './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00002.png', 6.085654499247952
1, 2, './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00003.png', 6.124403493331218
2, 3, './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00004.png', 5.804822978168825
3, 4, './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00005.png', 5.974073701064714
4, 5, './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00006.png', 5.157112738655039
5, 6, './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00007.png', 5.3342897546669015
6, 7, './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00008.png', 5.3107673619456675
7, 8, './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00009.png', 4.5380486797166055
8, 9, './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00010.png', 5.369950928230286
9, 10, './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00011.png', 4.733258573104516
10, 11, './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00012.png', 5.064189008733235
11, 12, './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00013.png', 4.047589572899937
12, 13, './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00014.png', 4.988218430990265
13, 14, './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00015.png', 4.0256677300372825
14, 15, './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00016.png', 4.511414726349357
15, 16, './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00017.png', 4.505632091310635
16, 17, './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00018.png', 5.220167116380771
17, 18, './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00019.png', 5.304881416665444
18, 19, './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00020.png', 5.716481058493345
19, 20, './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S4/put_cheese,bread/1/flow_y_00021.png', 5.245694020510097
