0, 1, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0002.png', 6.312575684798245
1, 2, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0003.png', 5.829917864505886
2, 3, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0004.png', 5.750383325268121
3, 4, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0005.png', 6.253705356679972
4, 5, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0006.png', 5.826936002859028
5, 6, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0007.png', 5.526654409405236
6, 7, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0008.png', 5.789845182451857
7, 8, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0009.png', 5.569332304080414
8, 9, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0010.png', 5.212198185740539
9, 10, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0011.png', 5.006678802832001
10, 11, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0012.png', 4.873085344423812
11, 12, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0013.png', 4.3961580031862
12, 13, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0014.png', 4.787739820240181
13, 14, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0015.png', 4.8730448852706765
14, 15, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0016.png', 4.988565961232471
15, 16, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0017.png', 5.297270854075626
16, 17, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0018.png', 5.426067438595913
17, 18, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0019.png', 5.309252081200061
18, 19, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0020.png', 5.204186097923598
19, 20, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0021.png', 5.2034057780863305
20, 21, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0022.png', 4.397373772342087
21, 22, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0023.png', 4.86941539267375
22, 23, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0024.png', 4.622203302068956
23, 24, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0025.png', 4.684769077255317
24, 25, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0026.png', 4.906256573053843
25, 26, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0027.png', 5.22979943192616
26, 27, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0028.png', 5.1306765132441186
27, 28, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0029.png', 5.092122311288234
28, 29, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0030.png', 5.2580228065764825
29, 30, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0031.png', 5.474671109048905
30, 31, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0032.png', 5.402212366492843
31, 32, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0033.png', 5.460035895213494
32, 33, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0034.png', 5.390032466365388
33, 34, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0035.png', 5.1821164494712475
34, 35, './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S2/pour_mustard,cheese,bread/1/rgb/rgb0036.png', 4.927020545858594
