0, 1, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0002.png', 0.34419457433399175
1, 2, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0002.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0003.png', 0.31467627744206517
2, 3, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0003.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0004.png', 0.3203909782507834
3, 4, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0004.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0005.png', 0.3153370624074905
4, 5, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0005.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0006.png', 0.29375456977054687
5, 6, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0006.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0007.png', 0.2168692158378902
6, 7, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0007.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0008.png', 0.20240560665905874
7, 8, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0008.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0009.png', 0.15801312162814612
8, 9, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0009.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0010.png', 0.08750344520858955
9, 10, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0010.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0011.png', 0.5107276845721557
10, 11, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0011.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0012.png', 0.3525634505292792
11, 12, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0012.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0013.png', 0.2881449045026804
12, 13, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0013.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0014.png', 0.27698645667758975
13, 14, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0014.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0015.png', 0.28226156144121994
14, 15, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0015.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0016.png', 0.24948085013813717
15, 16, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0016.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0017.png', 0.23674606380554572
16, 17, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0017.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0018.png', 0.2477293021636811
17, 18, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0018.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0019.png', 0.20876678705667284
18, 19, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0019.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0020.png', 0.16396378733650327
19, 20, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0020.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/mmaps/map0021.png', 0.11152012644474761
