0, 1, './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0002.png', 5.9024540347653405
1, 2, './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0003.png', 5.849488607939751
2, 3, './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0004.png', 5.746624001887602
3, 4, './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0005.png', 5.481006746726251
4, 5, './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0006.png', 5.199596545977276
5, 6, './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0007.png', 5.0127908942635875
6, 7, './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0008.png', 4.838395831192922
7, 8, './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0009.png', 4.996832699533011
8, 9, './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0010.png', 5.148501597435787
9, 10, './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0011.png', 5.173325397010061
10, 11, './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0012.png', 5.1695980175236
11, 12, './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0013.png', 5.225324040040223
12, 13, './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0014.png', 5.205046503896138
13, 14, './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0015.png', 4.964611737142326
14, 15, './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/rgb/rgb0016.png', 5.062653327945417
