0, 1, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00002.png', 4.51123195762577
1, 2, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00003.png', 5.454063890859456
2, 3, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00004.png', 4.698334622772902
3, 4, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00005.png', 5.411512563933841
4, 5, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00006.png', 5.288478230377226
5, 6, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00007.png', 5.497328440554922
6, 7, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00008.png', 5.832950891235104
7, 8, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00009.png', 5.310003631269905
8, 9, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00010.png', 5.520929420730426
9, 10, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00011.png', 4.582087548202038
10, 11, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00012.png', 4.688919248209369
11, 12, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00013.png', 5.0840949276668574
12, 13, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00014.png', 5.0604433419928
13, 14, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00015.png', 5.8207362029485115
14, 15, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00016.png', 5.102292361091334
15, 16, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00017.png', 5.4776750636536695
16, 17, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00018.png', 5.961293859725474
17, 18, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00019.png', 5.4465857507629964
18, 19, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00020.png', 5.727714170193343
19, 20, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00021.png', 5.322482217088759
