0, 1, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0001.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0002.png', 0.014877146129825315
1, 2, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0002.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0003.png', 0.02173672794550991
2, 3, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0003.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0004.png', 0.02849428136357132
3, 4, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0004.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0005.png', 0.023177938696881003
4, 5, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0005.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0006.png', 0.019032820257876806
5, 6, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0006.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0007.png', 0.03100640907039409
6, 7, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0007.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0008.png', 0.03701171736101008
7, 8, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0008.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0009.png', 0.02541939747089875
8, 9, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0009.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0010.png', 0.02173672794550991
9, 10, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0010.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0011.png', 0.04682589881945119
10, 11, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0011.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0012.png', 0.041146476183672634
11, 12, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0012.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0013.png', 0.03086400259717498
12, 13, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0013.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0014.png', 0.02571529752211575
13, 14, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0014.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0015.png', 0.026525611182244235
14, 15, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0015.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0016.png', 0.02842186212516559
15, 16, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0016.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0017.png', 0.030293022442390648
16, 17, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0017.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0018.png', 0.03646221512555808
17, 18, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0018.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0019.png', 0.02900018697752428
18, 19, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0019.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0020.png', 0.01560991033403701
19, 20, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0020.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0021.png', 0.026525611182244235
20, 21, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0021.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0022.png', 0.02805920752185529
21, 22, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0022.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0023.png', 0.015933632252286303
22, 23, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0023.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0024.png', 0.02415416889403512
23, 24, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0024.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0025.png', 0.028711317700951172
24, 25, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0025.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0026.png', 0.019967470978623173
25, 26, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0026.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0027.png', 0.017694038600588085
26, 27, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0027.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0028.png', 0.0231025197657298
27, 28, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0028.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0029.png', 0.027111865385105995
28, 29, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0029.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0030.png', 0.02798656413468402
29, 30, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0030.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0031.png', 0.03375740212390105
30, 31, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0031.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0032.png', 0.0245276051713181
31, 32, './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0032.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/mmaps/map0033.png', 0.02377961204165078
