0, 1, './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0002.png', 5.412534742675503
1, 2, './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0003.png', 5.0814738201175444
2, 3, './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0004.png', 5.0400691898554255
3, 4, './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0005.png', 5.412381353542549
4, 5, './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0006.png', 5.296895862314424
5, 6, './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0007.png', 4.800371464103127
6, 7, './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0008.png', 4.737136107568512
7, 8, './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0009.png', 4.914604040796848
8, 9, './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0010.png', 4.899863189406702
9, 10, './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0011.png', 4.49216900621027
10, 11, './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0012.png', 4.626384345949456
11, 12, './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/rgb/rgb0013.png', 4.636799658884456
