0, 1, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0002.png', 4.644178344613849
1, 2, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0003.png', 4.9435309548223145
2, 3, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0004.png', 4.817005230329587
3, 4, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0005.png', 4.8208359582156595
4, 5, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0006.png', 4.8545266179219455
5, 6, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0007.png', 4.64399914735546
6, 7, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0008.png', 4.950769389033736
7, 8, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0009.png', 5.536101616841324
8, 9, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0010.png', 5.1176933903709845
9, 10, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0011.png', 5.1910323776088285
10, 11, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0012.png', 5.29786527927458
11, 12, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0013.png', 4.49439830254248
12, 13, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0014.png', 4.803190976203268
13, 14, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0015.png', 5.286263789224202
14, 15, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0016.png', 4.5886703772489925
15, 16, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0017.png', 4.809114654597883
16, 17, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0018.png', 4.583996222344646
17, 18, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/rgb/rgb0019.png', 4.9835088772634375
