0, 1, './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0001.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0002.png', 0.4917098617479593
1, 2, './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0002.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0003.png', 0.4387239006439855
2, 3, './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0003.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0004.png', 0.33678674282853993
3, 4, './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0004.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0005.png', 0.2393638178367864
4, 5, './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0005.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0006.png', 0.16825237019772987
5, 6, './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0006.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0007.png', 0.10802319526362833
6, 7, './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0007.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0008.png', 0.11565295145636462
7, 8, './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0008.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0009.png', 0.13714817478791352
8, 9, './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0009.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0010.png', 0.14582393968638438
9, 10, './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0010.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0011.png', 0.7240008459680991
10, 11, './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0011.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0012.png', 0.5670502096299808
11, 12, './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0012.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0013.png', 0.4795737243733183
12, 13, './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0013.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0014.png', 0.40134978751486766
13, 14, './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0014.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0015.png', 0.3073599335449503
14, 15, './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0015.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0016.png', 0.1396726525942626
15, 16, './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0016.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0017.png', 0.12116206224438546
16, 17, './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0017.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0018.png', 0.11271298388674555
17, 18, './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0018.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0019.png', 0.12913449486390982
18, 19, './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0019.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0020.png', 0.1473957563614797
19, 20, './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0020.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/mmaps/map0021.png', 0.13807232875022157
