0, 1, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00001.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00002.png', 4.276739810172331
1, 2, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00002.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00003.png', 4.02828396336445
2, 3, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00003.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00004.png', 4.862287216126064
3, 4, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00004.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00005.png', 4.297912258426234
4, 5, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00005.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00006.png', 4.48062056535302
5, 6, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00006.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00007.png', 4.587265302715442
6, 7, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00007.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00008.png', 4.5616109092222725
7, 8, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00008.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00009.png', 4.151119544378653
8, 9, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00009.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00010.png', 3.836934468485615
9, 10, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00010.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00011.png', 3.8905243663128597
10, 11, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00011.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00012.png', 3.8774162623684743
11, 12, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00012.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00013.png', 4.022780921397244
12, 13, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00013.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00014.png', 4.289099041349946
13, 14, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00014.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00015.png', 4.265813650610083
14, 15, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00015.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00016.png', 3.93248863984135
15, 16, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00016.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00017.png', 4.217256059723248
16, 17, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00017.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00018.png', 4.226216055613309
17, 18, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00018.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00019.png', 3.8056349260353493
18, 19, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00019.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00020.png', 4.366752224881515
19, 20, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00020.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00021.png', 4.466637728993117
20, 21, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00021.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00022.png', 4.048605086515795
21, 22, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00022.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00023.png', 4.10474252273311
22, 23, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00023.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00024.png', 3.6015449637453654
23, 24, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00024.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00025.png', 4.047342422458453
24, 25, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00025.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00026.png', 3.7039458009444295
25, 26, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00026.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00027.png', 3.9861982600366916
26, 27, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00027.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00028.png', 3.509125885828843
27, 28, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00028.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00029.png', 4.0304172327622325
28, 29, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00029.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00030.png', 4.095219327086633
29, 30, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00030.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00031.png', 3.7477579976672364
30, 31, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00031.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00032.png', 4.713727328209966
31, 32, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00032.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00033.png', 4.864606748855842
32, 33, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00033.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00034.png', 5.045492480466539
33, 34, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00034.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00035.png', 4.4158089189910585
34, 35, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00035.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00036.png', 3.888287713511567
35, 36, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00036.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00037.png', 3.335009880158813
36, 37, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00037.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00038.png', 3.373576435483613
37, 38, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00038.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00039.png', 3.1693007389068883
38, 39, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00039.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00040.png', 3.2317842577791476
39, 40, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00040.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00041.png', 3.401470683493655
40, 41, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00041.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00042.png', 3.1487046169013038
41, 42, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00042.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00043.png', 3.0801465825331444
42, 43, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00043.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/3/flow_x_00044.png', 4.0567800589500385
