0, 1, './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0002.png', 5.273594148801845
1, 2, './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0003.png', 5.280326978983116
2, 3, './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0004.png', 5.160823771054478
3, 4, './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0005.png', 4.9751889775837705
4, 5, './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0006.png', 4.707052898888228
5, 6, './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0007.png', 4.642795705806901
6, 7, './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0008.png', 5.050046339569033
7, 8, './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0009.png', 5.57372725013249
8, 9, './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0010.png', 5.386847232447384
9, 10, './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0011.png', 5.411048079217844
10, 11, './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0012.png', 5.275646054802798
11, 12, './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0013.png', 5.11525054587143
12, 13, './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0014.png', 5.215218661398935
13, 14, './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0015.png', 5.200491077074252
14, 15, './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0016.png', 4.982741754518583
15, 16, './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/2/rgb/rgb0017.png', 4.818596474336857
