0, 1, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0001.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0002.png', 0.36779189968320114
1, 2, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0002.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0003.png', 0.2643259332426485
2, 3, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0003.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0004.png', 0.2214677823464616
3, 4, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0004.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0005.png', 0.19566466500052115
4, 5, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0005.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0006.png', 0.20040961742787658
5, 6, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0006.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0007.png', 0.2111063757644104
6, 7, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0007.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0008.png', 0.1618506491341954
7, 8, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0008.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0009.png', 0.12913449486390982
8, 9, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0009.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0010.png', 0.16615860976862296
9, 10, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0010.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0011.png', 0.5382627770470751
10, 11, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0011.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0012.png', 0.4060574897114297
11, 12, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0012.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0013.png', 0.31066143060547835
12, 13, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0013.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0014.png', 0.23267594892420934
13, 14, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0014.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0015.png', 0.20354876242044706
14, 15, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0015.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0016.png', 0.18926834577741922
15, 16, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0016.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0017.png', 0.20346417066442407
16, 17, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0017.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0018.png', 0.17344656924358243
17, 18, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0018.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0019.png', 0.14839307526862675
18, 19, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0019.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0020.png', 0.16734318570840206
19, 20, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0020.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0021.png', 0.20240560665905874
20, 21, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0021.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0022.png', 0.17822933924621284
21, 22, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0022.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0023.png', 0.15657152141733632
22, 23, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0023.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0024.png', 0.16000524528811708
23, 24, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0024.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0025.png', 0.17227717857749497
24, 25, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0025.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0026.png', 0.17268229145679895
25, 26, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0026.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0027.png', 0.12699406547563077
26, 27, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0027.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0028.png', 0.11662788959057581
27, 28, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0028.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0029.png', 0.11897803513970043
28, 29, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0029.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0030.png', 0.14112228308871386
29, 30, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0030.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0031.png', 0.10760341172621286
30, 31, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0031.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0032.png', 0.09165361754006202
31, 32, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0032.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0033.png', 0.08137310278413933
32, 33, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0033.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0034.png', 0.1705176995549625
33, 34, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0034.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/3/mmaps/map0035.png', 0.3173151385900775
