0, 1, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00001.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00002.png', 5.28582559441307
1, 2, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00002.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00003.png', 5.852644077691968
2, 3, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00003.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00004.png', 5.3437040372054705
3, 4, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00004.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00005.png', 5.164603479228561
4, 5, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00005.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00006.png', 5.411106748790779
5, 6, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00006.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00007.png', 4.534762812879663
6, 7, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00007.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00008.png', 4.34594408642298
7, 8, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00008.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00009.png', 5.34310653701671
8, 9, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00009.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00010.png', 5.262529009712062
9, 10, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00010.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00011.png', 4.679135199942295
10, 11, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00011.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00012.png', 4.933440030327912
11, 12, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00012.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00013.png', 4.952358359055798
12, 13, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00013.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00014.png', 4.906703752376122
13, 14, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00014.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00015.png', 5.437754998004859
14, 15, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00015.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00016.png', 5.1089504423984256
15, 16, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00016.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00017.png', 5.342013234631375
16, 17, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00017.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00018.png', 5.693454491131964
17, 18, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00018.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00019.png', 5.045667283136538
18, 19, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00019.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00020.png', 5.376508387394908
19, 20, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00020.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00021.png', 5.500887924734098
20, 21, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00021.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00022.png', 4.634280588114837
21, 22, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00022.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00023.png', 4.6216322792585265
22, 23, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00023.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00024.png', 4.732281929495339
23, 24, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00024.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00025.png', 3.588242292009206
24, 25, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00025.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00026.png', 4.231273816720836
25, 26, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00026.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00027.png', 4.575456976930902
26, 27, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00027.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00028.png', 4.37386488713952
27, 28, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00028.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00029.png', 4.80976231825969
28, 29, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00029.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00030.png', 5.100383176895796
29, 30, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00030.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00031.png', 4.202435954547161
30, 31, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00031.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00032.png', 4.664851286109721
31, 32, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00032.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00033.png', 5.027303224360059
32, 33, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00033.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00034.png', 4.725076790815507
33, 34, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00034.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00035.png', 5.284638799759176
34, 35, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00035.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00036.png', 5.759442337900498
35, 36, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00036.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00037.png', 5.24759259662771
36, 37, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00037.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00038.png', 5.125472156968864
37, 38, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00038.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/3/flow_x_00039.png', 5.487658740824316
