0, 1, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00001.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00002.png', 5.66658258209543
1, 2, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00002.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00003.png', 5.422454894568884
2, 3, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00003.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00004.png', 5.409419767864256
3, 4, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00004.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00005.png', 5.975258526898838
4, 5, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00005.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00006.png', 4.875992135931225
5, 6, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00006.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00007.png', 4.720674141719566
6, 7, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00007.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00008.png', 5.20691136133816
7, 8, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00008.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00009.png', 5.254334057118346
8, 9, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00009.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00010.png', 6.754736461071682
9, 10, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00010.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00011.png', 5.494567039101404
10, 11, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00011.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00012.png', 5.2412631144074
11, 12, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00012.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00013.png', 3.7704419100959496
12, 13, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00013.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00014.png', 4.74709391952154
13, 14, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00014.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00015.png', 4.7088392695370835
14, 15, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00015.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00016.png', 4.855527839708936
15, 16, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00016.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00017.png', 4.3164715968568785
16, 17, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00017.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00018.png', 4.117174351637217
17, 18, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00018.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00019.png', 4.538168508601329
18, 19, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00019.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00020.png', 4.831414058223266
19, 20, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00020.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00021.png', 4.761583484602068
20, 21, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00021.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00022.png', 5.213921319182221
21, 22, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00022.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00023.png', 5.76271986923203
22, 23, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00023.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00024.png', 5.321312807127695
23, 24, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00024.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00025.png', 5.1694895406003925
24, 25, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00025.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00026.png', 4.347655331142403
25, 26, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00026.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00027.png', 4.614337052935399
26, 27, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00027.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00028.png', 4.60026804694539
27, 28, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00028.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00029.png', 4.58949825415388
28, 29, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00029.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00030.png', 5.398167364183867
29, 30, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00030.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00031.png', 5.37590673282622
30, 31, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00031.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00032.png', 4.740946732793885
31, 32, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00032.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/2/flow_y_00033.png', 4.577765179691073
