0, 1, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0002.png', 6.168175311937833
1, 2, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0003.png', 5.968122326013315
2, 3, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0004.png', 5.852963980269337
3, 4, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0005.png', 5.889724350510552
4, 5, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0006.png', 5.806624906032917
5, 6, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0007.png', 6.071782396842303
6, 7, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0008.png', 6.282259173953905
7, 8, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0009.png', 6.323638637146774
8, 9, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0010.png', 6.478294739541674
9, 10, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0011.png', 6.436488972186524
10, 11, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0012.png', 6.350742520446043
11, 12, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0013.png', 6.291256806137606
12, 13, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0014.png', 5.699259407545719
13, 14, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0015.png', 5.547374685070512
14, 15, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0016.png', 5.451308774286879
15, 16, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0017.png', 4.678410524395911
16, 17, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0018.png', 4.903316611834632
17, 18, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0019.png', 4.7361102341581685
18, 19, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0020.png', 5.155699243717033
19, 20, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0021.png', 5.364166006628446
20, 21, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0021.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0022.png', 5.464104201402393
21, 22, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0022.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0023.png', 5.6959738156872755
22, 23, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0023.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0024.png', 5.590978053570285
23, 24, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0024.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0025.png', 5.369415021021492
24, 25, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0025.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0026.png', 4.809846621683472
25, 26, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0026.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0027.png', 4.435867405648739
26, 27, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0027.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0028.png', 4.1320416260158215
27, 28, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0028.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0029.png', 4.375466434517688
28, 29, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0029.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0030.png', 4.416413606676464
29, 30, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0030.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0031.png', 4.373150988131081
30, 31, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0031.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0032.png', 4.617913994568562
31, 32, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0032.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0033.png', 4.8332820749191985
32, 33, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0033.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0034.png', 5.146381857407131
33, 34, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0034.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0035.png', 5.19246346549286
34, 35, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0035.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0036.png', 5.139804609058731
35, 36, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0036.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0037.png', 4.96022000530647
36, 37, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0037.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0038.png', 4.581185571040039
37, 38, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0038.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0039.png', 4.632787523080409
38, 39, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0039.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0040.png', 4.775192893675944
39, 40, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0040.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0041.png', 4.4715598959057985
40, 41, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0041.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0042.png', 4.639077585388085
41, 42, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0042.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0043.png', 4.605212520366299
42, 43, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0043.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0044.png', 4.249847800232381
43, 44, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0044.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0045.png', 4.381660264464574
44, 45, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0045.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0046.png', 4.365818381921077
45, 46, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0046.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0047.png', 3.9284826264937966
46, 47, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0047.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0048.png', 4.2143324932229635
47, 48, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0048.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0049.png', 4.769074355417506
48, 49, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0049.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0050.png', 4.79968610335052
49, 50, './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0050.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/rgb/rgb0051.png', 5.1106739507512895
