0, 1, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0002.png', 5.122590763982852
1, 2, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0003.png', 5.353841737410435
2, 3, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0004.png', 5.430854921982606
3, 4, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0005.png', 5.336793772224913
4, 5, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0006.png', 5.367876238517783
5, 6, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0007.png', 5.479643995348134
6, 7, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0008.png', 5.623258665857711
7, 8, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0009.png', 5.603948950159972
8, 9, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0010.png', 5.772694987031208
9, 10, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0011.png', 5.819948294540951
10, 11, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0012.png', 5.454658098362179
11, 12, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0013.png', 5.497805196209034
12, 13, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0014.png', 5.411116820903939
13, 14, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0015.png', 5.225641335460335
14, 15, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0016.png', 5.174435277392859
15, 16, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0017.png', 5.282209180317434
16, 17, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0018.png', 5.6332702885721755
17, 18, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0019.png', 5.656304767033652
18, 19, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/rgb/rgb0020.png', 5.431419595731675
