0, 1, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00001.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00002.png', 5.3152571631563195
1, 2, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00002.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00003.png', 5.664805107083123
2, 3, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00003.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00004.png', 5.001172216783831
3, 4, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00004.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00005.png', 4.981233269729358
4, 5, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00005.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00006.png', 5.444882745791876
5, 6, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00006.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00007.png', 5.218851654616083
6, 7, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00007.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00008.png', 5.638112743447272
7, 8, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00008.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00009.png', 4.513124384543957
8, 9, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00009.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00010.png', 4.642836879841625
9, 10, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00010.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00011.png', 5.1721735556553625
10, 11, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00011.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00012.png', 5.594596158675094
11, 12, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00012.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00013.png', 4.386678554526576
12, 13, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00013.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00014.png', 4.931137679928937
13, 14, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00014.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00015.png', 3.5849581115715616
14, 15, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00015.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00016.png', 4.256985439499525
15, 16, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00016.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00017.png', 3.5918453533767614
16, 17, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00017.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00018.png', 3.811589592497571
17, 18, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00018.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00019.png', 4.531200988364521
18, 19, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00019.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00020.png', 3.534867569808257
19, 20, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00020.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00021.png', 4.891512932853915
20, 21, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00021.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00022.png', 4.530177910714578
21, 22, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00022.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00023.png', 4.1240772617286074
22, 23, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00023.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00024.png', 5.338032605360274
23, 24, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00024.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00025.png', 4.526144570321009
24, 25, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00025.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00026.png', 4.1583682534791215
25, 26, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00026.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00027.png', 3.4416426613441087
26, 27, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00027.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00028.png', 4.477425126469992
27, 28, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00028.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00029.png', 3.811500451607062
28, 29, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00029.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00030.png', 4.095086502478235
29, 30, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00030.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00031.png', 6.285752988235298
30, 31, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00031.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00032.png', 6.496846453848851
31, 32, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00032.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00033.png', 6.4606326572442905
32, 33, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00033.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/2/flow_y_00034.png', 7.11833996016722
