0, 1, './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0001.png', './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0002.png', 0.2604123057976783
1, 2, './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0002.png', './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0003.png', 0.22598689104404487
2, 3, './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0003.png', './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0004.png', 0.2221623523092358
3, 4, './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0004.png', './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0005.png', -0.0
4, 5, './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0005.png', './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0006.png', -0.0
5, 6, './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0006.png', './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0007.png', -0.0
6, 7, './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0007.png', './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0008.png', -0.0
7, 8, './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0008.png', './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0009.png', -0.0
8, 9, './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0009.png', './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0010.png', -0.0
9, 10, './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0010.png', './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0011.png', 0.44285075760503634
10, 11, './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0011.png', './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0012.png', 0.30396953821805867
11, 12, './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0012.png', './GTEA61/processed_frames2/S3/pour_sugar,spoon,cup/3/mmaps/map0013.png', 0.20822217504550214
