0, 1, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0002.png', 5.500055228110453
1, 2, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0003.png', 5.1605297247011235
2, 3, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0004.png', 5.190484405245301
3, 4, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0005.png', 4.860930563955891
4, 5, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0006.png', 5.077842691432148
5, 6, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0007.png', 5.102332891858821
6, 7, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0008.png', 5.36268417887493
7, 8, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0009.png', 5.214803661831786
8, 9, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0010.png', 4.634377214630361
9, 10, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0011.png', 4.70349500754034
10, 11, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0012.png', 4.690291502236367
11, 12, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0013.png', 4.829340433353369
12, 13, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0014.png', 4.6019254069551545
13, 14, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0015.png', 4.2741030982877914
14, 15, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0016.png', 4.440992630636459
15, 16, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0017.png', 4.733558409634383
16, 17, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0018.png', 4.627626585460351
17, 18, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0019.png', 4.828395990603054
18, 19, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0020.png', 5.392163248892918
19, 20, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0021.png', 5.417036467905228
20, 21, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0022.png', 5.37386387324873
21, 22, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0022.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/rgb/rgb0023.png', 5.53978315055844
