0, 1, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0002.png', 6.622280234914266
1, 2, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0003.png', 6.455987612395503
2, 3, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0004.png', 6.115127509812826
3, 4, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0005.png', 6.07461829444157
4, 5, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0006.png', 6.152053479736886
5, 6, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0007.png', 5.909840635142093
6, 7, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0008.png', 5.7591578157702426
7, 8, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0009.png', 5.79370342756371
8, 9, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0010.png', 5.417601558962289
9, 10, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0011.png', 5.559146663298202
10, 11, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0012.png', 5.784369526192386
11, 12, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0013.png', 5.669638887294383
12, 13, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0014.png', 5.048306035294948
13, 14, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0015.png', 4.710158220512053
14, 15, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0016.png', 4.496013348739548
15, 16, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0017.png', 4.272749678423896
16, 17, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0018.png', 4.772401526606484
17, 18, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0019.png', 4.818147206752582
18, 19, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0020.png', 5.16121693626658
19, 20, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0021.png', 4.5927512339291345
20, 21, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0022.png', 5.095426611633578
21, 22, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0023.png', 5.019621568955033
22, 23, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/rgb/rgb0024.png', 4.974811749155302
