0, 1, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00002.png', 5.6440232369647605
1, 2, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00003.png', 5.519634681336739
2, 3, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00004.png', 4.6229643648678085
3, 4, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00005.png', 4.290454688763121
4, 5, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00006.png', 4.586983131012362
5, 6, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00007.png', 3.9405385953872116
6, 7, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00008.png', 4.656838626809972
7, 8, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00009.png', 4.480254134287327
8, 9, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00010.png', 4.24051016289242
9, 10, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00011.png', 3.6167574986523725
10, 11, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00012.png', 4.483046199114531
11, 12, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00013.png', 3.9662992297842568
12, 13, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00014.png', 4.195681902345249
13, 14, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00015.png', 4.145774917281055
14, 15, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00016.png', 5.336468315864734
15, 16, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00017.png', 5.043737876571505
16, 17, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00018.png', 4.433638599736369
17, 18, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00019.png', 4.536584230658403
18, 19, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00020.png', 4.494269785966207
19, 20, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00021.png', 3.908246935366098
20, 21, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00022.png', 5.456183943855792
21, 22, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00023.png', 5.613198328079779
22, 23, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00024.png', 4.304524741615218
23, 24, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00025.png', 3.8946645089719527
24, 25, './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S4/pour_mayonnaise,cheese,bread/1/flow_x_00026.png', 3.794262576935116
