0, 1, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00002.png', 4.437822765949141
1, 2, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00003.png', 4.243329120689205
2, 3, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00004.png', 4.025796689338699
3, 4, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00005.png', 3.541449168319513
4, 5, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00006.png', 3.9665131266886005
5, 6, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00007.png', 4.606074749604763
6, 7, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00008.png', 3.9188294708568265
7, 8, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00009.png', 4.1519977681398945
8, 9, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00010.png', 4.8923809396668805
9, 10, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00011.png', 4.926958893121404
10, 11, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00012.png', 4.20490448508737
11, 12, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00013.png', 5.3276010431663385
12, 13, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00014.png', 5.885802497005017
13, 14, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00015.png', 6.30651559108608
14, 15, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00016.png', 5.833977662869621
15, 16, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00017.png', 6.428900668348385
16, 17, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00018.png', 5.069338403548786
17, 18, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00019.png', 5.130175782826183
