0, 1, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00001.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00002.png', 4.725476272480121
1, 2, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00002.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00003.png', 5.3227666727105065
2, 3, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00003.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00004.png', 5.134682483091142
3, 4, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00004.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00005.png', 5.728659585065328
4, 5, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00005.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00006.png', 6.1523997918291675
5, 6, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00006.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00007.png', 5.455013848761058
6, 7, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00007.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00008.png', 4.5081742375466805
7, 8, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00008.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00009.png', 5.412435521181792
8, 9, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00009.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00010.png', 4.869543847715372
9, 10, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00010.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00011.png', 4.214840457368133
10, 11, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00011.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00012.png', 4.518905510871512
11, 12, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00012.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00013.png', 5.586473242198464
12, 13, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00013.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00014.png', 5.252712597358551
13, 14, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00014.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00015.png', 5.096358153198425
14, 15, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00015.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00016.png', 4.962212022119341
15, 16, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00016.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00017.png', 4.824620064840987
16, 17, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00017.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00018.png', 3.5888460364655494
17, 18, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00018.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00019.png', 5.947546100008513
18, 19, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00019.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00020.png', 6.10104959524267
19, 20, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00020.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00021.png', 4.642032540300631
20, 21, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00021.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00022.png', 3.617397826030524
21, 22, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00022.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00023.png', 4.075326281172304
22, 23, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00023.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00024.png', 4.32834240337053
23, 24, './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00024.png', './GTEA61/flow_x_processed/S1/scoop_coffee,spoon/2/flow_x_00025.png', 4.2126965466565
