0, 1, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00002.png', 5.660553245596312
1, 2, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00002.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00003.png', 5.432743942232392
2, 3, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00003.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00004.png', 6.2653782558276525
3, 4, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00004.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00005.png', 5.618874045598565
4, 5, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00005.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00006.png', 4.6655067751074775
5, 6, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00006.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00007.png', 5.333692425561632
6, 7, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00007.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00008.png', 5.014577040692536
7, 8, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00008.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00009.png', 4.563553915519303
8, 9, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00009.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00010.png', 5.578208951206609
9, 10, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00010.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00011.png', 5.062281950762778
10, 11, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00011.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00012.png', 4.743178042887424
11, 12, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00012.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00013.png', 4.971726421930664
12, 13, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00013.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00014.png', 5.000964585484499
13, 14, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00014.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00015.png', 3.337256800667308
14, 15, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00015.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00016.png', 4.108673004628975
15, 16, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00016.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00017.png', 4.239534865313144
16, 17, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00017.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00018.png', 4.385416463360422
17, 18, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00018.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00019.png', 4.332580018271842
18, 19, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00019.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00020.png', 4.377669698897873
19, 20, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00020.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00021.png', 4.1984795329236855
20, 21, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00021.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00022.png', 4.203337952377509
21, 22, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00022.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00023.png', 3.9619973952897474
22, 23, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00023.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00024.png', 4.024304026404364
23, 24, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00024.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00025.png', 3.8666921226101514
24, 25, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00025.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00026.png', 4.885839612685488
25, 26, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00026.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00027.png', 5.842330656518886
26, 27, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00027.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/1/flow_x_00028.png', 5.668096255614412
