0, 1, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0002.png', 4.516565989821888
1, 2, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0003.png', 4.4106171856060525
2, 3, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0004.png', 4.87230249233159
3, 4, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0005.png', 4.997872663952767
4, 5, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0006.png', 4.510315451025696
5, 6, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0007.png', 4.866210909513463
6, 7, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0008.png', 4.627968635057443
7, 8, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0009.png', 4.285242068824737
8, 9, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0010.png', 4.110558622395985
9, 10, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0011.png', 4.63047489756672
10, 11, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0012.png', 3.906793459579445
11, 12, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0013.png', 4.181608654833957
12, 13, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0014.png', 4.376997925459778
13, 14, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0015.png', 4.284434068676114
14, 15, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0016.png', 4.550433059835258
15, 16, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0017.png', 4.41611407039656
16, 17, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0018.png', 4.4836437649597745
17, 18, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0019.png', 4.87821818236095
18, 19, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0020.png', 5.017049158303317
19, 20, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0021.png', 5.162565562004881
20, 21, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0022.png', 5.141011204703238
21, 22, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0023.png', 5.473925267716457
22, 23, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0024.png', 5.4584971746696676
23, 24, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0025.png', 5.351716552480484
24, 25, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0026.png', 5.186500614541022
25, 26, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0027.png', 5.028144775373128
26, 27, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0028.png', 4.71900642087525
27, 28, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0029.png', 4.720710390048296
28, 29, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0030.png', 5.248662280501131
29, 30, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0031.png', 5.626000393000952
30, 31, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0032.png', 5.690422166579497
31, 32, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0033.png', 5.421982132673547
32, 33, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0034.png', 5.508132554565581
33, 34, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0035.png', 5.472592219821165
34, 35, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0036.png', 5.472737103713169
