0, 1, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00001.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00002.png', 5.069000127369864
1, 2, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00002.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00003.png', 4.8704062426414785
2, 3, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00003.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00004.png', 4.549246115854165
3, 4, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00004.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00005.png', 5.142586849328141
4, 5, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00005.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00006.png', 4.8784209977718875
5, 6, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00006.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00007.png', 4.579267694833898
6, 7, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00007.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00008.png', 4.590162001582258
7, 8, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00008.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00009.png', 4.141691832555801
8, 9, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00009.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00010.png', 4.35106231187915
9, 10, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00010.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00011.png', 4.308097952378984
10, 11, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00011.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00012.png', 4.138130803325597
11, 12, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00012.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00013.png', 3.8752805169420346
12, 13, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00013.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00014.png', 3.6593303215081425
13, 14, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00014.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00015.png', 3.6658386347101444
14, 15, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00015.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00016.png', 3.0271290434399036
15, 16, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00016.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00017.png', 3.6098882753785793
16, 17, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00017.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00018.png', 3.2624251822095434
17, 18, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00018.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00019.png', 3.9090638335574432
18, 19, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00019.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00020.png', 4.297924067621282
19, 20, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00020.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00021.png', 3.508190119627199
20, 21, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00021.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00022.png', 3.6402657855675846
21, 22, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00022.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00023.png', 3.7290059098615576
22, 23, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00023.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00024.png', 3.601942639613403
23, 24, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00024.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00025.png', 3.5097043984799763
24, 25, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00025.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00026.png', 3.7601458302826187
25, 26, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00026.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00027.png', 3.347694771718551
26, 27, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00027.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00028.png', 3.3643897712339808
27, 28, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00028.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00029.png', 3.330333043022423
28, 29, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00029.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00030.png', 2.909761477193542
29, 30, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00030.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00031.png', 3.0252101827937916
30, 31, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00031.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00032.png', 3.6295117652287114
31, 32, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00032.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00033.png', 3.2116285848109696
32, 33, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00033.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00034.png', 3.7067090197972714
33, 34, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00034.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00035.png', 3.784246567028123
34, 35, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00035.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00036.png', 3.182484035316409
35, 36, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00036.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00037.png', 3.4691608143022954
36, 37, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00037.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00038.png', 3.484120033909102
37, 38, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00038.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00039.png', 2.8717036408355288
38, 39, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00039.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00040.png', 3.058954172940821
39, 40, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00040.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00041.png', 3.579423728103657
40, 41, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00041.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00042.png', 3.388320876376494
41, 42, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00042.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00043.png', 3.015493506416721
42, 43, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00043.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00044.png', 2.9324763664448854
43, 44, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00044.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00045.png', 2.8524994616470907
44, 45, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00045.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00046.png', 2.980585562287497
45, 46, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00046.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00047.png', 3.0995033098511424
46, 47, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00047.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00048.png', 3.227683418447745
47, 48, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00048.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00049.png', 4.049967904067921
48, 49, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00049.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00050.png', 3.9053597431269234
49, 50, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00050.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00051.png', 4.298923889491828
50, 51, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00051.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00052.png', 4.577805625528013
51, 52, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00052.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00053.png', 4.073043221359748
52, 53, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00053.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00054.png', 3.7160336233855564
53, 54, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00054.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00055.png', 3.504898160909153
54, 55, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00055.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00056.png', 3.84467121277262
55, 56, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00056.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00057.png', 3.6561597270793365
56, 57, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00057.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00058.png', 4.0038855200106855
