0, 1, './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00002.png', 5.624835544981623
1, 2, './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00003.png', 4.59059223285334
2, 3, './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00004.png', 4.459015673085516
3, 4, './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00005.png', 4.397354803792478
4, 5, './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00006.png', 4.411600351374512
5, 6, './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00007.png', 5.093589624822577
6, 7, './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00008.png', 4.967110560330925
7, 8, './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00009.png', 3.7754528638512883
8, 9, './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00010.png', 3.7439700721724574
9, 10, './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00011.png', 3.9602747925808828
10, 11, './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00012.png', 4.131753317579904
11, 12, './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S2/pour_honey,bread/1/flow_x_00013.png', 3.5358991669646125
