0, 1, './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0002.png', 0.19480500968357767
1, 2, './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0002.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0003.png', 0.15995901515578656
2, 3, './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0003.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0004.png', 0.14386314201995717
3, 4, './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0004.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0005.png', 0.10854724533791939
4, 5, './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0005.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0006.png', 0.0762741854685628
5, 6, './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0006.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0007.png', 0.06434975698056714
6, 7, './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0007.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0008.png', 0.050504588285190395
7, 8, './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0008.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0009.png', 0.06579438686741937
8, 9, './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0009.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0010.png', 0.04094530803259133
9, 10, './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0010.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0011.png', 0.29191461909834143
10, 11, './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0011.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0012.png', 0.25662540088094166
11, 12, './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0012.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0013.png', 0.2000691034728334
12, 13, './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0013.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0014.png', 0.1863457066353357
13, 14, './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0014.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0015.png', 0.1455375457706973
14, 15, './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0015.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/mmaps/map0016.png', 0.09899496108591851
