0, 1, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00002.png', 5.94237760807427
1, 2, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00003.png', 5.940840511442834
2, 3, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00004.png', 5.452346663688138
3, 4, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00005.png', 4.663762087145528
4, 5, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00006.png', 3.914588406971942
5, 6, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00007.png', 3.498125917251782
6, 7, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00008.png', 4.078292518317674
7, 8, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00009.png', 3.723408113172873
8, 9, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00010.png', 3.763523203161332
9, 10, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00011.png', 3.952402050536988
10, 11, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00012.png', 3.890922982862361
11, 12, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00013.png', 4.058685756622332
12, 13, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00014.png', 3.5466658087868694
13, 14, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00015.png', 3.4490467776428044
14, 15, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00016.png', 3.4708619281113595
15, 16, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00017.png', 4.244765363531362
