0, 1, './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00002.png', 7.179736254082852
1, 2, './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00003.png', 6.424070366901414
2, 3, './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00004.png', 6.789426739728499
3, 4, './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00005.png', 6.831741958998487
4, 5, './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00006.png', 6.06594023053916
5, 6, './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00007.png', 4.815464180063671
6, 7, './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00008.png', 5.229817443384488
7, 8, './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00009.png', 4.179535350480673
8, 9, './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00010.png', 5.685433375188004
9, 10, './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00011.png', 4.675876776210183
10, 11, './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00012.png', 5.3559924933353
11, 12, './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00013.png', 5.054439557783281
12, 13, './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00014.png', 5.518609473729305
13, 14, './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00015.png', 5.426975198366466
14, 15, './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00016.png', 5.357019384524184
15, 16, './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00017.png', 5.302361933179381
16, 17, './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S2/put_bread,bread/1/flow_y_00018.png', 5.628762436935021
