0, 1, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0002.png', 0.4115953765538022
1, 2, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0003.png', 0.38275378225553686
2, 3, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0004.png', 0.3788738663330856
3, 4, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0005.png', 0.3435640148036104
4, 5, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0006.png', 0.29849072915516445
5, 6, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0007.png', 0.0629576910793361
6, 7, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0008.png', 0.06871946669110768
7, 8, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0009.png', 0.1630002891416513
8, 9, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0010.png', 0.33078251412017035
9, 10, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0011.png', 0.6001310136416093
10, 11, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0012.png', 0.42442930361699327
11, 12, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0013.png', 0.35761589258263693
12, 13, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0014.png', 0.35347917502374254
13, 14, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0015.png', 0.33993418533696496
14, 15, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0016.png', 0.40107711883003794
15, 16, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0017.png', 0.10686762070573516
16, 17, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0018.png', 0.057620898284464456
17, 18, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0019.png', 0.28343557908849604
18, 19, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0020.png', 0.3125848761886594
19, 20, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0021.png', 0.35253072125790563
20, 21, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0022.png', 0.32840522352528767
21, 22, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0023.png', 0.3314600614922064
22, 23, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0024.png', 0.34363041959098295
23, 24, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0025.png', 0.36449312205523376
24, 25, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0026.png', 0.38050383244201835
25, 26, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0027.png', 0.3462477582181298
26, 27, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0028.png', 0.42135517778629256
27, 28, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0029.png', 0.4380382282612478
28, 29, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0030.png', 0.44675350620724874
29, 30, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0031.png', 0.4340235882464942
30, 31, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0032.png', 0.36551984047048464
31, 32, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0033.png', 0.3444267247769949
32, 33, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0033.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0034.png', 0.35135132427453286
33, 34, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0034.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0035.png', 0.3311552571638465
34, 35, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0035.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0036.png', 0.34997254050071164
35, 36, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0036.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0037.png', 0.36224130612690464
36, 37, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0037.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0038.png', 0.38446710922818444
37, 38, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0038.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0039.png', 0.36584034618485833
38, 39, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0039.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0040.png', 0.35819999366282357
39, 40, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0040.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0041.png', 0.33301560623763043
40, 41, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0041.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0042.png', 0.41210184367292396
41, 42, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0042.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0043.png', 0.38505790750444513
42, 43, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0043.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0044.png', 0.4036476541832555
43, 44, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0044.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0045.png', 0.4105812262869438
44, 45, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0045.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0046.png', 0.4311403109397651
45, 46, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0046.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0047.png', 0.42960683182211834
46, 47, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0047.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/mmaps/map0048.png', 0.3977959040444678
