0, 1, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0002.png', 5.69595931106531
1, 2, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0003.png', 5.747656143555308
2, 3, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0004.png', 5.82302315839164
3, 4, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0005.png', 5.886388163235249
4, 5, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0006.png', 5.729378712668975
5, 6, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0007.png', 5.542659868757054
6, 7, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0008.png', 5.484099955750009
7, 8, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0009.png', 5.608250265267955
8, 9, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0010.png', 5.4080772239729455
9, 10, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0011.png', 5.423537691422258
10, 11, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0012.png', 5.510079770371365
11, 12, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0013.png', 5.127727136581216
12, 13, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0014.png', 5.233768937720018
13, 14, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0015.png', 4.90126941279732
14, 15, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0016.png', 5.009551845845713
15, 16, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0017.png', 5.190808624869836
16, 17, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0018.png', 5.455611744416118
17, 18, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0019.png', 5.566922312807677
18, 19, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0020.png', 5.389224506576271
19, 20, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0021.png', 5.377842694635829
20, 21, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0022.png', 5.480196520404636
21, 22, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0023.png', 5.497931391080186
22, 23, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0024.png', 5.597585067947407
23, 24, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0025.png', 5.9424742958617855
24, 25, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0026.png', 6.274195442666802
25, 26, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0027.png', 6.454921824690108
26, 27, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0028.png', 6.179321828802949
27, 28, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0029.png', 5.876672661276983
28, 29, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0030.png', 5.8765634159325515
29, 30, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0031.png', 5.985892700391807
30, 31, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0032.png', 6.11669971910379
31, 32, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0033.png', 6.065636370497366
32, 33, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0034.png', 6.1592432168061695
33, 34, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0035.png', 6.061409276675768
34, 35, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0036.png', 6.15716173635065
35, 36, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0037.png', 6.067255661538326
36, 37, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0038.png', 5.979024587570174
37, 38, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0039.png', 5.743143984819261
38, 39, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0040.png', 5.885941801879428
39, 40, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0041.png', 6.157050865050693
40, 41, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0042.png', 6.385920600043273
41, 42, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0043.png', 6.210145674989219
42, 43, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0044.png', 5.615150645096715
