0, 1, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0002.png', 0.279500784805079
1, 2, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0003.png', 0.3132479298410053
2, 3, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0004.png', 0.3272813139270779
3, 4, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0005.png', 0.2709152409500636
4, 5, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0006.png', 0.2194197202971621
5, 6, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0007.png', 0.2697534216868238
6, 7, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0008.png', 0.2349940045112341
7, 8, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0009.png', 0.22411868244905658
8, 9, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0010.png', 0.18062526965850428
9, 10, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0011.png', 0.4511364437058013
10, 11, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0012.png', 0.33842942339477783
11, 12, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0013.png', 0.268626869727495
12, 13, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0014.png', 0.29741760510285103
13, 14, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0015.png', 0.2765045501505729
14, 15, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0016.png', 0.2620873971547971
15, 16, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0017.png', 0.2404706695844741
16, 17, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0018.png', 0.2204856859753135
17, 18, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0019.png', 0.2249723583591513
18, 19, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0020.png', 0.21909130462153398
19, 20, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0021.png', 0.19759360090046107
20, 21, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0022.png', 0.18203955623304138
21, 22, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0023.png', 0.07667843528392293
22, 23, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0024.png', 0.0539330327903087
23, 24, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0025.png', 0.06404777602561151
24, 25, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0026.png', 0.06386641720539875
25, 26, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0027.png', 0.06561424550680799
26, 27, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0028.png', 0.09651137792756752
27, 28, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0029.png', 0.07078952714564489
28, 29, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0030.png', 0.07459338603682354
29, 30, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/mmaps/map0031.png', 0.07696684176539281
