0, 1, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0001.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0002.png', 0.13017572833328292
1, 2, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0002.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0003.png', 0.08794869015647709
2, 3, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0003.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0004.png', 0.06758906109407255
3, 4, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0004.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0005.png', 0.0629576910793361
4, 5, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0005.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0006.png', 0.06180194940975692
5, 6, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0006.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0007.png', 0.035841904979121854
6, 7, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0007.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0008.png', 0.04760572423741124
7, 8, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0008.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0009.png', 0.038241775507649116
8, 9, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0009.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0010.png', 0.022345704284721307
9, 10, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0010.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0011.png', 0.21769328825754375
10, 11, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0011.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0012.png', 0.149435467394127
11, 12, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0012.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0013.png', 0.17978359891602314
12, 13, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0013.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0014.png', 0.131510566748965
13, 14, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0014.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0015.png', 0.10812806554581154
14, 15, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0015.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0016.png', 0.11348888800825307
15, 16, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0016.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0017.png', 0.06966772933797716
16, 17, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0017.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0018.png', 0.06507307495461
17, 18, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0018.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0019.png', 0.036668484480691356
18, 19, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0019.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0020.png', 0.03604892705605424
19, 20, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0020.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0021.png', 0.02173672794550991
20, 21, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0021.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0022.png', 0.01204811303304426
21, 22, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0022.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0023.png', 0.014958871933530297
22, 23, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0023.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0024.png', 0.022875979046570613
23, 24, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0024.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0025.png', 0.018797846523535888
24, 25, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0025.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0026.png', 0.011281033314529098
25, 26, './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0026.png', './GTEA61/processed_frames2/S4/pour_water,cup/3/mmaps/map0027.png', 0.019189173506139693
