0, 1, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0002.png', 4.892560069384131
1, 2, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0003.png', 4.832268327841942
2, 3, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0004.png', 5.050988132683796
3, 4, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0005.png', 4.754175662654431
4, 5, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0006.png', 4.661199416754491
5, 6, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0007.png', 4.981270155817642
6, 7, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0008.png', 5.008949301401078
7, 8, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0009.png', 4.973019276148529
8, 9, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0010.png', 5.191994467147304
9, 10, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0011.png', 4.75872470875705
10, 11, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0012.png', 4.417803110152349
11, 12, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0013.png', 4.31864508450681
12, 13, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0014.png', 4.631869003539998
13, 14, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0015.png', 4.93781061896014
14, 15, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0016.png', 5.166119022526408
15, 16, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/rgb/rgb0017.png', 4.823597617373769
