0, 1, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0002.png', 5.652942243177746
1, 2, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0003.png', 5.34092247579822
2, 3, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0004.png', 5.01465460121332
3, 4, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0005.png', 5.017357072121267
4, 5, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0006.png', 4.843855932610787
5, 6, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0007.png', 4.73420982569464
6, 7, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0008.png', 4.996370577905375
7, 8, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0009.png', 4.531656817647215
8, 9, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0010.png', 5.377512480204166
9, 10, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0011.png', 5.1936494417999395
10, 11, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0012.png', 4.4445682850389785
11, 12, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0013.png', 4.690194092632737
12, 13, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0014.png', 4.771744483150616
13, 14, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0015.png', 4.3622101717064306
14, 15, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0016.png', 4.739488973143376
15, 16, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0017.png', 5.050565434836887
16, 17, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0018.png', 4.66594168242829
17, 18, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0019.png', 4.831753155546775
18, 19, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0020.png', 4.405631146312846
19, 20, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0021.png', 4.591086204500773
