0, 1, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0002.png', 0.15810597143728095
1, 2, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0003.png', 0.10178111607695481
2, 3, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0004.png', 0.10119359300215597
3, 4, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0005.png', 0.10087270930475079
4, 5, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0006.png', 0.11027130828446935
5, 6, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0007.png', 0.09575189300359382
6, 7, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0008.png', 0.07817505496382303
7, 8, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0009.png', 0.10401540797827095
8, 9, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0010.png', 0.11302353835216326
9, 10, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0011.png', 0.274237997541434
10, 11, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0012.png', 0.21587864667654366
11, 12, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0013.png', 0.1362707842002474
12, 13, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0014.png', 0.07529008019787409
13, 14, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0015.png', 0.07563779464160547
14, 15, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/mmaps/map0016.png', 0.10263394317540944
