0, 1, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0002.png', 4.627626585460351
1, 2, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0003.png', 4.828395990603054
2, 3, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0004.png', 5.392163248892918
3, 4, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0005.png', 5.417036467905228
4, 5, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0006.png', 5.37386387324873
5, 6, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0007.png', 5.53978315055844
6, 7, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0008.png', 5.535027994000112
7, 8, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0009.png', 5.731029651108166
8, 9, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0010.png', 5.7007797741102
9, 10, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0011.png', 5.595405213550019
10, 11, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0012.png', 5.590361118901045
11, 12, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0013.png', 5.409583547534304
12, 13, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0014.png', 5.1248293233079
13, 14, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0015.png', 5.161419591805701
14, 15, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0016.png', 5.249248139862115
15, 16, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0017.png', 4.720054802662253
16, 17, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0018.png', 4.531432357793706
17, 18, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0019.png', 4.619818965667168
18, 19, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0020.png', 4.872191637023587
19, 20, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0021.png', 5.093470184753189
20, 21, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0022.png', 5.3892681681653585
21, 22, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0022.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0023.png', 5.4842469811456125
22, 23, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0023.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/rgb/rgb0024.png', 5.885579891760034
