0, 1, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0002.png', 5.864243368209027
1, 2, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0003.png', 6.112529996310619
2, 3, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0004.png', 6.465996311153879
3, 4, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0005.png', 6.436380204406417
4, 5, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0006.png', 5.926894523940849
5, 6, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0007.png', 5.893166122810003
6, 7, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0008.png', 5.542698722617756
7, 8, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0009.png', 5.688549515285624
8, 9, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0010.png', 5.024515312936927
9, 10, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0011.png', 4.829097434854092
10, 11, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0012.png', 5.201388721395075
11, 12, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0013.png', 4.850937045237987
12, 13, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0014.png', 5.090180298538592
13, 14, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0015.png', 5.108508092838509
14, 15, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0016.png', 5.0315032814772955
15, 16, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0017.png', 4.922938835568473
16, 17, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0018.png', 6.107675568195102
17, 18, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/rgb/rgb0019.png', 6.090895297583761
