0, 1, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0002.png', 5.041394192374761
1, 2, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0003.png', 4.863091939550922
2, 3, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0004.png', 4.870354319170442
3, 4, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0005.png', 4.695392710545219
4, 5, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0006.png', 4.755365936229023
5, 6, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0007.png', 5.020934648858509
6, 7, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0008.png', 4.931795081110013
7, 8, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0009.png', 4.663495696513163
8, 9, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0010.png', 4.52047224979756
9, 10, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0011.png', 4.905494009480614
10, 11, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0012.png', 4.6006922768561545
11, 12, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0013.png', 4.627427208830746
12, 13, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0014.png', 4.774580041934227
13, 14, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0015.png', 4.404194072367736
14, 15, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0016.png', 4.626105398330014
15, 16, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0017.png', 4.952744117403325
16, 17, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0018.png', 4.369209047599933
17, 18, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0019.png', 4.487113416789081
18, 19, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0020.png', 4.459458136923323
19, 20, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0021.png', 4.673005235795478
20, 21, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0021.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0022.png', 4.462176049621075
21, 22, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0022.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0023.png', 4.407837609020991
22, 23, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0023.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0024.png', 4.564732687453908
23, 24, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0024.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0025.png', 4.39998523348541
24, 25, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0025.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0026.png', 4.82312623007023
25, 26, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0026.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0027.png', 4.440261828447
26, 27, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0027.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0028.png', 4.39245827094388
27, 28, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0028.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0029.png', 4.56560283723849
28, 29, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0029.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0030.png', 4.717460330903532
29, 30, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0030.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0031.png', 5.0844694295943915
30, 31, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0031.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0032.png', 5.4223200373121045
31, 32, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0032.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0033.png', 5.797415425195041
32, 33, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0033.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0034.png', 6.11811995583827
33, 34, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0034.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0035.png', 6.3776239745634165
34, 35, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0035.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0036.png', 6.204713600886218
35, 36, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0036.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0037.png', 6.0952237808427485
36, 37, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0037.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0038.png', 6.440648673472088
37, 38, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0038.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/3/rgb/rgb0039.png', 6.627815970506525
