0, 1, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00001.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00002.png', 5.436435423128284
1, 2, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00002.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00003.png', 5.723217046437969
2, 3, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00003.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00004.png', 5.786895191516787
3, 4, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00004.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00005.png', 5.107930668277243
4, 5, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00005.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00006.png', 6.076785073720169
5, 6, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00006.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00007.png', 4.270382773220403
6, 7, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00007.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00008.png', 4.485236475202367
7, 8, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00008.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00009.png', 4.8386238206238374
8, 9, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00009.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00010.png', 4.098545151554304
9, 10, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00010.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00011.png', 4.110355214054653
10, 11, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00011.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00012.png', 4.301002567235608
11, 12, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00012.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/4/flow_y_00013.png', 4.170889940197305
