0, 1, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0002.png', 0.19070159984195775
1, 2, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0003.png', 0.13264423699902173
2, 3, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0004.png', 0.09710692431438686
3, 4, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0005.png', 0.044797463147065036
4, 5, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0006.png', 0.033687459450990456
5, 6, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0007.png', 0.024004481756251413
6, 7, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0008.png', 0.027841163985290872
7, 8, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0009.png', 0.04721617894028888
8, 9, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0010.png', 0.11969046251813378
9, 10, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0011.png', 0.2644395257245691
10, 11, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0012.png', 0.17564269815315714
11, 12, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0013.png', 0.14184525832562986
12, 13, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0014.png', 0.13136246599207907
13, 14, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0015.png', 0.057868843613106666
14, 15, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0016.png', 0.038853602868888296
15, 16, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0017.png', 0.029504317846492503
16, 17, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0018.png', 0.02842186212516559
17, 18, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0019.png', 0.06615429879918847
18, 19, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0020.png', 0.1819071400279076
19, 20, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0021.png', 0.3954460918374762
20, 21, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0022.png', 0.34053507028467717
21, 22, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0023.png', 0.30009683493086414
22, 23, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0024.png', 0.2946904116330038
23, 24, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0025.png', 0.33651813624458715
24, 25, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0026.png', 0.33203539296883955
25, 26, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0027.png', 0.32502732216544106
26, 27, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0028.png', 0.3104862700557016
27, 28, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0029.png', 0.33745775043607157
28, 29, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0030.png', 0.3828473563951079
29, 30, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0031.png', 0.3618222208516651
30, 31, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0032.png', 0.39691193344816117
31, 32, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0033.png', 0.37050121788269547
32, 33, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0033.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0034.png', 0.3415685670371239
33, 34, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0034.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0035.png', 0.3804725266084964
34, 35, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0035.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/mmaps/map0036.png', 0.3721529508852791
