0, 1, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00001.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00002.png', 5.394041026298904
1, 2, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00002.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00003.png', 5.100519849303458
2, 3, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00003.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00004.png', 5.722821011716726
3, 4, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00004.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00005.png', 5.75231500739915
4, 5, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00005.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00006.png', 5.141329386238608
5, 6, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00006.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00007.png', 4.549878078219403
6, 7, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00007.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00008.png', 5.089794609894554
7, 8, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00008.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00009.png', 5.284852038762591
8, 9, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00009.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00010.png', 5.140658643928169
9, 10, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00010.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00011.png', 4.5635505609893805
10, 11, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00011.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00012.png', 4.7513029779014575
11, 12, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00012.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00013.png', 5.31874899082313
12, 13, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00013.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00014.png', 5.105699276961187
13, 14, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00014.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00015.png', 5.22530017124959
14, 15, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00015.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00016.png', 5.030841393395706
15, 16, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00016.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00017.png', 4.449847243519874
16, 17, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00017.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/2/flow_y_00018.png', 4.847977875897158
