0, 1, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00001.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00002.png', 5.446173062708667
1, 2, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00002.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00003.png', 4.765795554155491
2, 3, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00003.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00004.png', 5.123158753239803
3, 4, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00004.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00005.png', 4.606422776324515
4, 5, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00005.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00006.png', 4.880742746081914
5, 6, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00006.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00007.png', 5.13178207680375
6, 7, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00007.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00008.png', 4.663665622440998
7, 8, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00008.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00009.png', 5.745067667867194
8, 9, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00009.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00010.png', 5.593151941393152
9, 10, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00010.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00011.png', 5.535770383474608
10, 11, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00011.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00012.png', 5.004863916416417
11, 12, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00012.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00013.png', 4.756209912599306
12, 13, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00013.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00014.png', 4.855921069780616
13, 14, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00014.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00015.png', 5.021000186567865
14, 15, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00015.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00016.png', 5.002196579210698
15, 16, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00016.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00017.png', 5.146465513041514
16, 17, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00017.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00018.png', 4.846903947206789
17, 18, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00018.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00019.png', 4.718320386293404
18, 19, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00019.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00020.png', 4.395725649112235
19, 20, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00020.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00021.png', 4.966783205627978
20, 21, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00021.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00022.png', 4.903304750448394
21, 22, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00022.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00023.png', 4.49803189414481
22, 23, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00023.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00024.png', 4.780399850916962
23, 24, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00024.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00025.png', 3.7719769648250736
24, 25, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00025.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00026.png', 4.7516300054224025
25, 26, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00026.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00027.png', 5.049218915035521
26, 27, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00027.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00028.png', 3.9085900176294457
27, 28, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00028.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00029.png', 5.081814286762553
28, 29, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00029.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00030.png', 5.328853533449041
29, 30, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00030.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00031.png', 4.090973642985993
30, 31, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00031.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00032.png', 4.534783165967409
31, 32, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00032.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00033.png', 4.983218053532939
32, 33, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00033.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00034.png', 4.816447039322084
33, 34, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00034.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00035.png', 4.673050313714545
34, 35, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00035.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00036.png', 5.161249176333798
35, 36, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00036.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00037.png', 5.1396664605747
36, 37, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00037.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00038.png', 4.391414977861858
37, 38, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00038.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/3/flow_y_00039.png', 4.873488408953175
