0, 1, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00001.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00002.png', 5.2082107479971365
1, 2, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00002.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00003.png', 5.495927224724878
2, 3, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00003.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00004.png', 5.719034210402936
3, 4, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00004.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00005.png', 5.057163264769264
4, 5, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00005.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00006.png', 4.741474620070452
5, 6, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00006.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00007.png', 4.821549757299942
6, 7, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00007.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00008.png', 4.716180363330566
7, 8, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00008.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00009.png', 4.769093569118082
8, 9, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00009.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00010.png', 4.391710170321138
9, 10, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00010.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00011.png', 3.488072663703452
10, 11, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00011.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00012.png', 3.8617245987993596
11, 12, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00012.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00013.png', 4.0177684082057565
12, 13, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00013.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00014.png', 4.615908881907673
13, 14, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00014.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00015.png', 4.888495785548787
14, 15, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00015.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00016.png', 4.57877692240762
15, 16, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00016.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00017.png', 5.664544113046187
16, 17, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00017.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00018.png', 4.94814795052798
17, 18, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00018.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00019.png', 4.5960805809608205
18, 19, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00019.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00020.png', 4.21510722272122
19, 20, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00020.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00021.png', 5.1289429525128885
20, 21, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00021.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/2/flow_x_00022.png', 5.0513543808519685
