0, 1, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0002.png', 5.523859946312202
1, 2, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0003.png', 5.343797774179341
2, 3, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0004.png', 5.471488549704545
3, 4, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0005.png', 5.247679870445761
4, 5, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0006.png', 4.747828805164767
5, 6, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0007.png', 5.283659877736318
6, 7, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0008.png', 5.886740162976648
7, 8, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0009.png', 5.804325281156963
8, 9, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0010.png', 5.011440171459424
9, 10, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0011.png', 5.013721372639198
10, 11, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0012.png', 4.7443141221077685
11, 12, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0013.png', 5.048033697172987
12, 13, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0014.png', 4.902335243915133
13, 14, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0015.png', 4.60790803442299
14, 15, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0016.png', 4.427621336499847
15, 16, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0017.png', 4.851817904371069
16, 17, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0018.png', 4.3258410417882365
17, 18, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0019.png', 5.049280449315586
18, 19, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0020.png', 4.398092956891995
