0, 1, './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00001.png', './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00002.png', 6.232974079356178
1, 2, './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00002.png', './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00003.png', 6.2824772122817985
2, 3, './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00003.png', './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00004.png', 6.1295585087249576
3, 4, './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00004.png', './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00005.png', 5.51842056506255
4, 5, './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00005.png', './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00006.png', 5.007164851558367
5, 6, './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00006.png', './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00007.png', 4.933058938106734
6, 7, './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00007.png', './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00008.png', 4.388912467753341
7, 8, './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00008.png', './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00009.png', 4.211540685179795
8, 9, './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00009.png', './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00010.png', 4.713848158868905
9, 10, './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00010.png', './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00011.png', 5.215684279808323
10, 11, './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00011.png', './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00012.png', 5.533461680787155
11, 12, './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00012.png', './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00013.png', 4.028742719103684
12, 13, './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00013.png', './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00014.png', 4.614413136878793
13, 14, './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00014.png', './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00015.png', 4.886754571395996
14, 15, './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00015.png', './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00016.png', 3.9715850231572842
15, 16, './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00016.png', './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00017.png', 4.726987871265799
16, 17, './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00017.png', './GTEA61/flow_x_processed/S4/put_bread,bread/2/flow_x_00018.png', 5.487610659436142
