0, 1, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00002.png', 5.753297847767449
1, 2, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00002.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00003.png', 5.282504378581313
2, 3, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00003.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00004.png', 4.664580968983318
3, 4, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00004.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00005.png', 4.8910199229186455
4, 5, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00005.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00006.png', 5.189958147247259
5, 6, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00006.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00007.png', 5.065768893263048
6, 7, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00007.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00008.png', 5.617065868742718
7, 8, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00008.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00009.png', 4.763725829269186
8, 9, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00009.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00010.png', 4.6952444571181156
9, 10, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00010.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00011.png', 4.778523019720799
10, 11, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00011.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00012.png', 5.311386607635401
11, 12, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00012.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00013.png', 5.2043350453778565
12, 13, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00013.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00014.png', 4.86691113013523
13, 14, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00014.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00015.png', 5.271366789622742
14, 15, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00015.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00016.png', 4.935484696159755
15, 16, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00016.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00017.png', 4.316836960858652
16, 17, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00017.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/1/flow_y_00018.png', 4.936637915990641
