0, 1, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0002.png', 6.275483695690856
1, 2, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0003.png', 6.268157497190516
2, 3, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0004.png', 6.291230337307761
3, 4, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0005.png', 6.292413884946505
4, 5, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0006.png', 6.244457393342914
5, 6, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0007.png', 6.028309331627106
6, 7, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0008.png', 5.837305271836981
7, 8, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0009.png', 5.567878910547469
8, 9, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0010.png', 5.107605028143114
9, 10, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0011.png', 4.861085752197343
10, 11, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0012.png', 4.830316476504654
11, 12, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0013.png', 4.610263373548947
12, 13, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0014.png', 4.662431672446105
13, 14, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0015.png', 5.076541574527772
14, 15, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0016.png', 4.840110403449449
15, 16, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0017.png', 4.528682627031061
16, 17, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0018.png', 4.730125458516401
17, 18, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0019.png', 4.497212029444563
18, 19, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0020.png', 4.1006627369093085
19, 20, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0021.png', 4.545977466914504
20, 21, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0022.png', 4.408376730740593
21, 22, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0023.png', 4.148824835072572
22, 23, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0024.png', 4.29637658003248
23, 24, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0025.png', 4.436452156905347
24, 25, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0026.png', 4.293598457464266
25, 26, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0027.png', 4.311872736778738
26, 27, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0028.png', 3.9940366357615886
27, 28, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0029.png', 4.125660567750575
28, 29, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0030.png', 4.219280283123037
29, 30, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0031.png', 4.314341688561787
30, 31, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0032.png', 4.235117873703794
31, 32, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0033.png', 4.536784406733622
32, 33, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0034.png', 4.384227168347039
33, 34, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0035.png', 4.173945448395985
34, 35, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0036.png', 4.207790389124912
35, 36, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0037.png', 4.390199874550491
36, 37, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0038.png', 3.9901202071102237
37, 38, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0039.png', 4.226329778827918
38, 39, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0040.png', 4.424932009876571
39, 40, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0041.png', 4.629850800769443
40, 41, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0042.png', 4.416497222909057
41, 42, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0043.png', 4.613897095604524
42, 43, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0044.png', 4.826312669939712
43, 44, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0045.png', 4.7559152868819226
44, 45, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0046.png', 4.854172370677205
45, 46, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0047.png', 4.940361181757281
46, 47, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0047.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0048.png', 4.828463679209987
47, 48, './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0048.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/rgb/rgb0049.png', 4.784384737904267
