0, 1, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00001.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00002.png', 6.397075218827609
1, 2, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00002.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00003.png', 5.924497745532992
2, 3, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00003.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00004.png', 4.430174154296867
3, 4, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00004.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00005.png', 4.557379934019853
4, 5, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00005.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00006.png', 4.812400440988211
5, 6, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00006.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00007.png', 5.040953590577683
6, 7, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00007.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00008.png', 4.996162817125143
7, 8, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00008.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00009.png', 4.703242801303922
8, 9, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00009.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00010.png', 5.035997959035083
9, 10, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00010.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00011.png', 3.5139168557282257
10, 11, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00011.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00012.png', 4.747234236001396
11, 12, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00012.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00013.png', 3.9705745932943683
12, 13, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00013.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00014.png', 4.701755405205678
13, 14, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00014.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00015.png', 4.691599811753216
