0, 1, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00002.png', 5.4645930977346255
1, 2, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00002.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00003.png', 4.777740431173773
2, 3, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00003.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00004.png', 4.844678676418421
3, 4, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00004.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00005.png', 5.078354435988087
4, 5, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00005.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00006.png', 5.986599109905277
5, 6, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00006.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00007.png', 6.185321311076137
6, 7, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00007.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00008.png', 5.18924931054416
7, 8, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00008.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00009.png', 5.5245424922486865
8, 9, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00009.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00010.png', 6.342811212584782
9, 10, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00010.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00011.png', 6.206577382547279
10, 11, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00011.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00012.png', 6.285462892644773
11, 12, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00012.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00013.png', 5.1744459657213016
12, 13, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00013.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00014.png', 4.7435611729549185
13, 14, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00014.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00015.png', 5.299852173838098
14, 15, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00015.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00016.png', 4.918622107310416
15, 16, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00016.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00017.png', 5.205300491530295
16, 17, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00017.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00018.png', 4.627037041334861
17, 18, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00018.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00019.png', 4.74213479928872
18, 19, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00019.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00020.png', 3.971643287656737
19, 20, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00020.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00021.png', 4.274774112034609
20, 21, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00021.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00022.png', 4.212149279416079
21, 22, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00022.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00023.png', 4.748264213183676
22, 23, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00023.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00024.png', 4.2874782987175015
23, 24, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00024.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00025.png', 3.854835673951476
24, 25, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00025.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00026.png', 4.377791741337042
25, 26, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00026.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00027.png', 4.09715195639687
26, 27, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00027.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00028.png', 4.065751957147389
27, 28, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00028.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00029.png', 4.585769131053265
28, 29, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00029.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00030.png', 5.302942022623581
29, 30, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00030.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00031.png', 5.1822766923804195
30, 31, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00031.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00032.png', 5.61017378495356
31, 32, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00032.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00033.png', 5.033638751903842
32, 33, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00033.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00034.png', 4.979498628211389
33, 34, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00034.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00035.png', 4.596719864175543
34, 35, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00035.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00036.png', 4.535192651882898
35, 36, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00036.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00037.png', 5.164664308549538
36, 37, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00037.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00038.png', 5.229379283684324
37, 38, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00038.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00039.png', 5.045633832689717
38, 39, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00039.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00040.png', 4.58509040737021
39, 40, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00040.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00041.png', 5.810686815806822
40, 41, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00041.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00042.png', 4.711966194888279
41, 42, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00042.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00043.png', 4.1410224319362365
42, 43, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00043.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00044.png', 4.50837841580413
43, 44, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00044.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00045.png', 3.8208436999923276
44, 45, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00045.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00046.png', 3.7852292849496267
45, 46, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00046.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00047.png', 3.9953188398875397
46, 47, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00047.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00048.png', 3.8420335417663782
47, 48, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00048.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00049.png', 3.8283780674959087
48, 49, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00049.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00050.png', 4.63559636331273
49, 50, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00050.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00051.png', 4.3976211593523225
50, 51, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00051.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00052.png', 3.686541842954316
51, 52, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00052.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00053.png', 4.829168329863021
52, 53, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00053.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00054.png', 4.85236937861981
53, 54, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00054.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00055.png', 3.746275129958743
54, 55, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00055.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00056.png', 3.651997800990383
55, 56, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00056.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00057.png', 3.2090696764418554
56, 57, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00057.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00058.png', 4.34475591936109
57, 58, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00058.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00059.png', 4.639658345463314
58, 59, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00059.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00060.png', 3.8694628508651854
59, 60, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00060.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00061.png', 3.6963748624117168
60, 61, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00061.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00062.png', 4.860238267937463
61, 62, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00062.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00063.png', 4.490437901449384
62, 63, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00063.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00064.png', 4.742296348319265
63, 64, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00064.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00065.png', 4.651347525350834
64, 65, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00065.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00066.png', 4.090435958222939
65, 66, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00066.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00067.png', 4.1669280674495175
66, 67, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00067.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00068.png', 3.666088494906857
67, 68, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00068.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00069.png', 4.424938498442325
68, 69, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00069.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00070.png', 4.365420918260428
69, 70, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00070.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00071.png', 3.7222366628054906
70, 71, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00071.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00072.png', 4.10850767098786
71, 72, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00072.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00073.png', 4.660935775429927
