0, 1, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00002.png', 5.104131050877663
1, 2, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00002.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00003.png', 5.110771573076022
2, 3, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00003.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00004.png', 5.5987500195248625
3, 4, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00004.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00005.png', 4.058551757248367
4, 5, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00005.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00006.png', 4.308297032193836
5, 6, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00006.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00007.png', 4.997179699091018
6, 7, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00007.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00008.png', 4.884284164950798
7, 8, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00008.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00009.png', 4.332465942331786
8, 9, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00009.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00010.png', 4.8100883701033
9, 10, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00010.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00011.png', 3.5730186057613436
10, 11, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00011.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00012.png', 3.7723627476759773
11, 12, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00012.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00013.png', 4.54648241376618
12, 13, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00013.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00014.png', 4.928868806334955
13, 14, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00014.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00015.png', 4.866819998484899
14, 15, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00015.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/1/flow_x_00016.png', 3.9748253802878843
