0, 1, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0001.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0002.png', 0.25017995363607554
1, 2, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0002.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0003.png', 0.2615549417938249
2, 3, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0003.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0004.png', 0.24023367201869178
3, 4, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0004.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0005.png', 0.2025751224250811
4, 5, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0005.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0006.png', 0.17796239528583577
5, 6, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0006.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0007.png', 0.17956186523037926
6, 7, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0007.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0008.png', 0.19583642183959005
7, 8, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0008.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0009.png', 0.21385049362933223
8, 9, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0009.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0010.png', 0.22089511057775416
9, 10, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0010.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0011.png', 0.43554641497182506
10, 11, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0011.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0012.png', 0.3119910053087247
11, 12, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0012.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0013.png', 0.2870166096192075
12, 13, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0013.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0014.png', 0.28273878706187494
13, 14, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0014.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0015.png', 0.21529996322326408
14, 15, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0015.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0016.png', 0.21331110958360383
15, 16, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0016.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0017.png', 0.16888775724318505
16, 17, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0017.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0018.png', 0.2709152409500636
17, 18, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0018.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0019.png', 0.27717170016814324
18, 19, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0019.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0020.png', 0.2438958871942098
19, 20, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0020.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0021.png', 0.27687528255289773
20, 21, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0021.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0022.png', 0.257009054350251
21, 22, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0022.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0023.png', 0.22986522623165848
22, 23, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0023.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0024.png', 0.2663294594713921
23, 24, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0024.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0025.png', 0.28522879590088884
24, 25, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0025.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0026.png', 0.23511363952616154
25, 26, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0026.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0027.png', 0.2524267753989665
26, 27, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0027.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0028.png', 0.2856306106235134
27, 28, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0028.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0029.png', 0.3182844858620408
28, 29, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0029.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0030.png', 0.31932137116366677
29, 30, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0030.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0031.png', 0.2593055959220427
30, 31, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0031.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0032.png', 0.2631508353110617
31, 32, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0032.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0033.png', 0.2601835060848984
32, 33, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0033.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0034.png', 0.26892749686713535
33, 34, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0034.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0035.png', 0.29741760510285103
34, 35, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0035.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0036.png', 0.25888525108092475
35, 36, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0036.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0037.png', 0.253932590443205
36, 37, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0037.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0038.png', 0.2687396231115537
37, 38, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0038.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0039.png', 0.25888525108092475
38, 39, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0039.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0040.png', 0.2931058214024426
39, 40, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0040.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0041.png', 0.2752794698701604
40, 41, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0041.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0042.png', 0.26614074329682585
41, 42, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0042.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0043.png', 0.2656497935112644
42, 43, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0043.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0044.png', 0.2711024145485633
43, 44, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0044.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0045.png', 0.2654230609227588
44, 45, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0045.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0046.png', 0.2841681597032186
45, 46, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0046.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0047.png', 0.25727745885782777
46, 47, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0047.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0048.png', 0.2714765817280958
47, 48, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0048.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0049.png', 0.24051015939046258
48, 49, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0049.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0050.png', 0.23908676092526995
49, 50, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0050.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0051.png', 0.2639850218523546
50, 51, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0051.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0052.png', 0.26280922959344105
51, 52, './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0052.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/3/mmaps/map0053.png', 0.2596492857334118
