0, 1, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0002.png', 5.522528803927523
1, 2, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0003.png', 5.750318512111628
2, 3, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0004.png', 5.323982661304008
3, 4, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0005.png', 4.797897848458364
4, 5, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0006.png', 5.14373341246642
5, 6, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0007.png', 5.816382406164235
6, 7, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0008.png', 5.813657748720178
7, 8, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0009.png', 5.415013043986858
8, 9, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0010.png', 5.330297402425164
9, 10, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0011.png', 5.256422203964503
10, 11, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0012.png', 4.7591483796359055
11, 12, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0013.png', 5.393392488509579
12, 13, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0014.png', 5.464022401009434
13, 14, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0015.png', 5.244814129668297
14, 15, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0016.png', 5.60776109194477
15, 16, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0017.png', 5.165006284670971
16, 17, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0018.png', 5.867061961272642
17, 18, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0019.png', 5.576090869906229
18, 19, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0020.png', 5.691750137528146
19, 20, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0021.png', 5.430761372883715
20, 21, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/rgb/rgb0022.png', 5.209234903112994
