0, 1, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0002.png', 0.298168992989832
1, 2, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0002.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0003.png', 0.2576989833791585
2, 3, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0003.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0004.png', 0.24098381920966855
3, 4, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0004.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0005.png', 0.22825260177759257
4, 5, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0005.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0006.png', 0.2257841360491173
5, 6, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0006.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0007.png', 0.16743418325457154
6, 7, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0007.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0008.png', 0.11657663916613652
7, 8, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0008.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0009.png', 0.09840269801748322
8, 9, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0009.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0010.png', 0.1002300542604194
9, 10, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0010.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0011.png', 0.46350152377484016
10, 11, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0011.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0012.png', 0.29064862266958097
11, 12, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0012.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0013.png', 0.28894433427061605
12, 13, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0013.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0014.png', 0.254664753116841
13, 14, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0014.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0015.png', 0.22285602932676246
14, 15, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0015.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0016.png', 0.2656497935112644
15, 16, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0016.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0017.png', 0.22468794905822942
16, 17, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0017.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0018.png', 0.23674606380554572
17, 18, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0018.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0019.png', 0.11575569417867292
18, 19, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0019.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0020.png', 0.1619427256084952
19, 20, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0020.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0021.png', 0.2506067592529343
20, 21, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0021.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0022.png', 0.1774280664136353
21, 22, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0022.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0023.png', 0.23535283190709766
22, 23, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0023.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0024.png', 0.364043404481637
23, 24, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0024.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0025.png', 0.3693233013787656
24, 25, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0025.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0026.png', 0.36734453751944557
25, 26, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0026.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0027.png', 0.3504324734729956
26, 27, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0027.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/mmaps/map0028.png', 0.34822828859286353
