0, 1, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00002.png', 5.256750427195568
1, 2, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00002.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00003.png', 4.568808282935214
2, 3, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00003.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00004.png', 5.139168779664325
3, 4, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00004.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00005.png', 4.977968549062345
4, 5, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00005.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00006.png', 4.3640232979584255
5, 6, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00006.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00007.png', 4.905923569404947
6, 7, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00007.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00008.png', 5.096467807435288
7, 8, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00008.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00009.png', 4.072970572153243
8, 9, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00009.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00010.png', 4.434416304111141
9, 10, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00010.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00011.png', 4.322517815099833
10, 11, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00011.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00012.png', 4.028163228415928
11, 12, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00012.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00013.png', 3.578359782137674
12, 13, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00013.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00014.png', 3.5284679342043406
13, 14, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00014.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00015.png', 3.925979917921622
14, 15, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00015.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00016.png', 4.437377294289473
15, 16, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00016.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00017.png', 3.5377838155244765
16, 17, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00017.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00018.png', 4.963939713980269
17, 18, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00018.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00019.png', 3.769443779724866
18, 19, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00019.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00020.png', 4.059461381242033
19, 20, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00020.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00021.png', 3.616157811951139
20, 21, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00021.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00022.png', 4.017046637859469
21, 22, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00022.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00023.png', 3.632293507445287
22, 23, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00023.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00024.png', 3.725518145938442
23, 24, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00024.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00025.png', 4.011914091412085
24, 25, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00025.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00026.png', 3.535435699572474
25, 26, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00026.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00027.png', 3.4768275996581326
26, 27, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00027.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00028.png', 3.6283504507110074
27, 28, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00028.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00029.png', 3.3647323430624008
28, 29, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00029.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00030.png', 3.4648915515207754
29, 30, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00030.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00031.png', 4.275098933748242
30, 31, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00031.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00032.png', 3.852313474996006
31, 32, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00032.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00033.png', 3.7888145366022727
32, 33, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00033.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00034.png', 4.702827288407359
33, 34, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00034.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00035.png', 3.887155230942949
34, 35, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00035.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00036.png', 4.991863292348298
35, 36, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00036.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00037.png', 4.34976448512146
36, 37, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00037.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00038.png', 4.039160972936703
37, 38, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00038.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00039.png', 4.628408852594779
38, 39, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00039.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00040.png', 4.890175884592572
39, 40, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00040.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00041.png', 3.886827394471064
40, 41, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00041.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00042.png', 4.0446547095287935
41, 42, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00042.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00043.png', 4.0464822457535226
42, 43, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00043.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00044.png', 3.8845815415528806
43, 44, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00044.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00045.png', 3.5180557331475133
44, 45, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00045.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00046.png', 3.5080688885081024
45, 46, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00046.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00047.png', 3.3694836805008577
