0, 1, './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00002.png', 5.986830835087685
1, 2, './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00002.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00003.png', 5.166836165896397
2, 3, './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00003.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00004.png', 5.804837309387784
3, 4, './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00004.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00005.png', 5.931661553606305
4, 5, './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00005.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00006.png', 5.788666816445389
5, 6, './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00006.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00007.png', 6.988454332446665
6, 7, './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00007.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00008.png', 5.828873351716571
7, 8, './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00008.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00009.png', 6.424961210004947
8, 9, './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00009.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00010.png', 6.727484696242064
9, 10, './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00010.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00011.png', 6.8648668361041905
10, 11, './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00011.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00012.png', 7.155063644488424
11, 12, './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00012.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00013.png', 6.175943999023698
12, 13, './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00013.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00014.png', 6.611712071049526
13, 14, './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00014.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00015.png', 6.711984303488468
14, 15, './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00015.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/1/flow_y_00016.png', 7.037042325858005
