0, 1, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0002.png', 5.334029410660138
1, 2, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0003.png', 5.098203995814002
2, 3, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0004.png', 4.960856124532499
3, 4, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0005.png', 5.229641994780819
4, 5, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0006.png', 5.163680144970978
5, 6, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0007.png', 4.833486520168522
6, 7, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0008.png', 4.84124634685082
7, 8, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0009.png', 4.996846200496027
8, 9, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0010.png', 4.514554714673254
9, 10, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0011.png', 4.812663579895639
10, 11, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0012.png', 4.378110502408335
11, 12, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0013.png', 4.154350723530936
12, 13, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0014.png', 4.675893068036452
13, 14, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0015.png', 4.76787352107299
14, 15, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0016.png', 4.539933582205757
15, 16, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0017.png', 4.464279766288786
16, 17, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0018.png', 4.310578351928955
17, 18, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0019.png', 4.353681230578549
18, 19, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0020.png', 4.3977957220572685
19, 20, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0021.png', 4.04801561004832
20, 21, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0022.png', 4.11128266688088
21, 22, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0023.png', 4.2441738954394115
22, 23, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0024.png', 4.239832549282094
23, 24, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0025.png', 4.195589869973091
24, 25, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0026.png', 4.313586360050527
25, 26, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0027.png', 4.13502296010977
26, 27, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0028.png', 4.091542479634635
27, 28, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0029.png', 4.228339490962212
28, 29, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0030.png', 4.40336570576197
29, 30, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0031.png', 4.162287687854122
30, 31, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0032.png', 4.260993087020126
31, 32, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0033.png', 4.245475596907188
32, 33, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0034.png', 4.365542350242372
33, 34, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0035.png', 4.1170704398590425
34, 35, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0036.png', 4.247817804583104
35, 36, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0037.png', 4.2491649182784945
36, 37, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0038.png', 4.357376838312716
37, 38, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0039.png', 4.846011913543405
38, 39, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0040.png', 5.012030205377869
39, 40, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0041.png', 4.912179026472097
40, 41, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0042.png', 4.415295981817173
41, 42, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0043.png', 4.603768814774511
42, 43, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0044.png', 4.363378521076501
43, 44, './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/rgb/rgb0045.png', 4.662848802643983
