0, 1, './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00002.png', 6.154990085892412
1, 2, './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00003.png', 6.432370874674397
2, 3, './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00004.png', 5.734269276940182
3, 4, './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00005.png', 5.289796773198984
4, 5, './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00006.png', 5.503164704636908
5, 6, './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00007.png', 5.889252275433125
6, 7, './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00008.png', 5.695313939005316
7, 8, './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00009.png', 5.171708910546114
8, 9, './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00010.png', 5.231234894536821
9, 10, './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00011.png', 5.4595895310289855
10, 11, './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00012.png', 5.027644217785376
11, 12, './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00013.png', 5.079786858358541
12, 13, './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00014.png', 4.848243862898704
13, 14, './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00015.png', 4.769790079715563
14, 15, './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00016.png', 4.6669060546051995
15, 16, './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00017.png', 5.10585505636054
16, 17, './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00018.png', 5.090977249501191
17, 18, './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00019.png', 4.773644113315372
18, 19, './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00020.png', 5.111686304496933
19, 20, './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S1/put_bread,bread/1/flow_x_00021.png', 4.600466032451356
