0, 1, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0001.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0002.png', 0.33712233742881464
1, 2, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0002.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0003.png', 0.26617849144608635
2, 3, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0003.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0004.png', 0.2157960161028942
3, 4, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0004.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0005.png', 0.24244174719819028
4, 5, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0005.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0006.png', 0.2519239499493187
5, 6, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0006.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0007.png', 0.21991196730727192
6, 7, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0007.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0008.png', -0.0
7, 8, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0008.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0009.png', -0.0
8, 9, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0009.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0010.png', -0.0
9, 10, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0010.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0011.png', 0.5581111833444647
10, 11, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0011.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0012.png', 0.3205633208111985
11, 12, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0012.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0013.png', 0.28752642716289967
12, 13, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0013.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0014.png', 0.2835821677084355
13, 14, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0014.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0015.png', 0.2765045501505729
14, 15, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0015.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/mmaps/map0016.png', 0.28799943824112334
